GRAPHEME	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click
N	.	-	-	-	-	+	+	-	.	-	-	-	+	-	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	+	-	-	-	-	-	-	-	-
R	.	-	-	-	-	+	+	+	.	+	.	.	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	.	.	+	-	-	-	-	-	-	-	-
Rʲ	.	-	-	-	-	+	+	+	.	+	.	.	-	-	-	.	.	+	+	-	-	.	+	-	+	-	.	.	.	+	-	-	-	-	-	-	-	-
R̪	.	-	-	-	-	+	+	+	.	+	.	.	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	.	.	+	-	-	-	-	-	-	-	-
R̪|R	.	-	-	-	-	+	+	+	.	+	.	.	-	-	-	.	.	+	+	.	-	-	.	.	.	.	.	.	.	+	-	-	-	-	-	-	-	-
R̪̥|R̥	.	-	-	-	-	+	+	+	.	+	.	.	-	-	-	.	.	+	+	.	-	-	.	.	.	.	.	.	.	-	-	-	-	-	-	-	-	-
R̪̰|R̰	.	-	-	-	-	+	+	+	.	+	.	.	-	-	-	.	.	+	+	.	-	-	.	.	.	.	.	.	.	+	-	-	+	-	-	-	-	-
a	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
ae	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
ae̞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	.	.	-	.	-	-	+	-	-	-	.	.	-	-	.
ae̞ˤ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	.	.	-	.	.	-	+	-	-	-	.	.	-	-	.
ae̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
ai	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
ai̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
ai̯ː	.	-	.	-	.	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
ao	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
ao̞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	-	.	.	-	-	+	-	-	-	.	.	-	-	.
ao̞ˤ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	-	.	.	.	-	+	-	-	-	.	.	-	-	.
au	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
auː	.	-	+	-	.	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
au̜	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	.	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
au̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
ay	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
aɔ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	-	.	-	-	-	+	-	-	-	.	.	-	-	.
aə	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	.	-	-	-	-	-	+	-	-	-	.	.	-	-	.
aɛ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	.	.	-	-	-	-	+	-	-	-	.	.	-	-	.
aɨ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	-	-	+	-	-	+	-	-	-	.	.	-	-	.
aɪ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	-	-	-	+	-	-	-	.	.	-	-	.
aɪ̃	.	-	+	-	-	-	+	+	.	+	-	-	.	-	-	.	.	-	.	.	.	+	.	.	.	-	-	-	-	+	-	-	-	.	.	-	-	.
aɪ̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	-	-	-	+	-	-	-	.	.	-	-	.
aɯ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
aɯ̃	.	-	+	-	-	-	+	+	.	+	-	-	.	-	-	.	.	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
aɵ̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	-	-	+	-	-	+	-	-	-	.	.	-	-	.
aʊ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	-	-	-	+	-	-	-	.	.	-	-	.
aʊɪ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	.	.	-	-	-	+	-	-	-	.	.	-	-	.
aʊ̃	.	-	+	-	-	-	+	+	.	+	-	-	.	-	.	+	-	-	.	.	.	+	.	.	-	.	-	-	-	+	-	-	-	.	.	-	-	.
aʊ̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	-	-	-	+	-	-	-	.	.	-	-	.
aʱ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	+	-	.	.	-	-	.
aʲ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	.	-	-	+	-	-	-	.	.	-	-	.
aʲː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	.	-	-	+	-	-	-	.	.	-	-	.
aˀ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	+	.	.	-	-	.
aː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
aːi	.	-	+	-	.	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
aːĭ	.	-	+	.	.	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
aːi̯	.	-	.	-	.	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
aːu	.	-	+	-	.	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
aːŭ	.	-	+	.	.	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
aːu̯	.	-	.	-	.	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
aːɪ	.	-	+	-	.	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	-	-	-	+	-	-	-	.	.	-	-	.
aˑ	.	-	+	+	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
a˞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	+	+	+	+	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
a˞ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	-	.	.	+	+	+	+	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
a˞ˤ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	+	+	+	+	+	-	+	-	-	.	.	-	+	-	-	-	.	.	-	-	.
aˠ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	-	-	.	-	-	+	-	-	-	.	.	-	-	.
aˤ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	.	-	+	-	-	-	.	.	-	-	.
aˤː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	.	-	+	-	-	-	.	.	-	-	.
ã	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
ãẽ̞ˤ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	.	.	-	.	.	-	+	-	-	-	.	.	-	-	.
ãi	.	-	+	-	-	-	+	+	.	+	-	-	.	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
ãĩ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
ãi̯	.	-	.	-	-	-	+	+	.	+	-	-	.	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
ãõ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	.	+	-	-	.	.	.	+	-	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
ãõ̞ˤ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	.	+	-	-	.	.	.	+	-	.	-	.	.	.	-	+	-	-	-	.	.	-	-	.
ãũ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
ãu̯	.	-	.	-	-	-	+	+	.	+	-	-	.	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
ãũ̯	.	-	.	-	-	-	+	+	.	+	-	-	+	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
ãɛ̃	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	.	.	-	-	-	-	+	-	-	-	.	.	-	-	.
ãɪ̯ː	.	-	.	-	.	-	+	+	.	+	-	-	.	-	-	.	.	-	.	.	.	+	.	.	.	-	-	-	-	+	-	-	-	.	.	-	-	.
ãː	.	-	+	-	+	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
ãˤ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	-	-	.	.	-	+	-	-	-	.	.	-	-	.
ãˤː	.	-	+	-	+	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	-	-	.	.	-	+	-	-	-	.	.	-	-	.
ã̈	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
ã̈ː	.	-	+	-	+	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
ă	.	-	+	+	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
ẵ	.	-	+	+	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
ä	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
äi	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
